"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"382_383",0,26,69,331,32,348,48,4,169,7,1,4,2
"383_384",1,19,9,52,7,120,17,0,193,20,1,1,2
"384_385",0,20,43,91,28,676,110,5,260,25,2,18,1
"385_386",0,9,22,310,71,209,32,11,59,5,0,24,1
"386_387",0,1,12,12,15,250,31,63,61,1,1,3,1
"387_388",1,6,70,225,22,304,22,5,108,30,2,10,3
"388_389",0,12,91,704,71,249,14,4,31,6,0,0,4
"389_390",1,17,93,274,5,223,8,12,234,28,0,2,3
"390_391",0,11,47,231,26,160,27,13,76,18,0,4,5
"391_392",0,9,35,358,85,251,16,5,86,4,0,1,2
"392_393",0,5,115,593,79,419,30,20,45,11,1,3,0
"393_394",0,9,52,143,47,466,26,28,172,17,0,3,2
"394_395",0,10,8,276,67,205,39,36,343,10,0,1,0
"395_396",4,17,4,58,4,144,50,17,291,13,2,2,0
"396_397",1,5,42,367,77,288,31,25,92,3,3,12,1
"398_399",0,15,22,441,60,174,25,7,146,3,1,4,0
"399_400",0,52,23,239,16,160,53,15,313,27,0,9,1
"400_401",1,4,53,417,83,217,18,13,126,21,0,1,0
"402_403",0,9,83,576,73,262,46,11,269,16,0,6,3
"403_404",1,23,35,239,117,162,32,6,480,38,0,10,2
"404_405",1,13,38,353,67,434,33,20,185,80,0,4,0
"405_406",0,46,12,168,6,169,25,29,106,15,0,15,0
"406_407",0,15,17,174,24,367,20,16,180,6,0,3,0
"407_408",1,6,147,469,92,352,46,35,99,7,1,1,1
"408_409",0,34,27,163,9,165,23,8,369,167,0,2,0
"409_410",0,16,15,261,33,433,51,31,313,32,0,4,4
"410_411",0,6,51,246,33,374,68,8,101,25,0,0,1
"411_412",0,14,13,324,87,292,29,23,219,33,1,3,1
"412_413",0,306,59,170,12,339,27,13,89,16,0,19,1
"413_414",0,13,34,367,137,139,17,9,56,11,0,5,9
"414_415",0,20,42,509,140,147,6,8,38,8,0,8,2
"415_416",0,80,18,114,12,377,52,34,408,117,0,6,0
"416_417",0,33,26,314,38,119,17,10,364,11,0,4,0
"417_418",0,56,17,141,6,212,69,15,236,61,1,12,1
"418_419",0,17,32,397,27,190,25,22,143,18,0,4,0
"419_420",1,9,20,87,10,220,12,12,78,9,1,6,1
"420_421",0,4,119,806,20,250,10,7,52,15,0,1,1
"421_422",0,5,40,168,46,377,12,10,110,7,0,11,0
"422_423",2,15,23,266,64,386,53,36,256,7,0,5,7
"423_424",0,2,13,104,18,279,16,29,38,3,0,1,0
"424_425",0,1,25,338,7,609,35,27,49,4,0,2,0
"425_426",0,33,16,411,81,370,38,47,239,27,0,5,4
"426_427",0,2,15,391,5,347,22,14,202,32,0,3,0
"427_428",0,4,26,145,13,424,27,32,244,7,1,1,0
"428_429",2,14,29,416,26,394,20,17,211,3,0,8,2
"429_430",1,132,26,81,22,220,17,42,378,7,0,5,1
"431_432",0,11,13,496,28,262,6,5,39,2,1,2,1
"432_433",0,62,15,361,8,219,14,6,156,6,0,8,0
"433_434",0,10,6,132,3,90,13,8,303,24,0,4,1
"434_435",0,3,44,248,18,178,12,13,174,8,0,2,0
"435_436",0,39,52,371,38,107,19,5,298,13,0,6,0
"436_437",4,31,15,101,52,102,7,2,543,25,2,2,3
"437_438",0,14,31,391,114,168,28,14,26,2,0,16,2
"438_439",0,18,33,316,135,149,16,19,40,0,0,5,0
"439_440",0,14,45,339,37,177,16,13,151,49,1,2,0
"441_442",0,1,19,372,95,296,15,26,40,1,2,15,0
"442_443",0,7,26,186,35,399,28,80,245,11,1,2,0
"443_444",0,6,11,145,96,106,7,16,54,8,0,9,3
"445_446",0,40,25,73,12,193,31,50,362,46,0,13,0
"446_447",0,7,31,402,44,207,7,20,98,25,1,2,1
"447_448",0,0,11,200,23,390,17,16,53,4,0,3,0
"448_449",0,33,24,384,30,390,35,3,105,37,0,0,0
"449_450",2,5,9,87,0,94,17,7,394,11,0,0,0
"450_451",0,4,10,373,15,312,24,3,43,7,0,3,1
"451_452",0,6,12,114,9,282,29,8,172,22,0,2,1
"452_453",0,16,9,105,11,200,22,14,288,42,0,0,0
"453_454",0,2,13,72,2,192,12,10,467,55,0,1,0
"454_455",0,24,26,188,4,182,12,7,363,14,0,5,0
"455_456",0,5,57,659,39,399,19,39,98,14,0,2,0
